textid,Words (split by space),anger,disgust,fear,joy,sad,surprise
291,jail me i ate ivory coast chocolate,0.121265,0.0934795,0.198868,0.228875,0.143407,0.214105
292,teacher charged with sex assault,0.0842954,0.0890949,0.186062,0.28498,0.181392,0.174176
293,college tuition continues climbing,0.111433,0.0702198,0.296668,0.104342,0.223493,0.193844
294,matthews lays off turkey workers,0.089917,0.0644575,0.171207,0.0729512,0.34495,0.256517
295,space life search turns to tv,0.0775805,0.0464413,0.155486,0.245044,0.263492,0.211956
296,myspace welcomes french friends,0.0472583,0.109121,0.191731,0.322574,0.0835498,0.245765
297,hackers attack root servers,0.192731,0.128768,0.289015,0.0720945,0.168018,0.149374
298,ice storm coating midwest,0.07662,0.0278072,0.437337,0.0440395,0.27179,0.142406
299,gop senators to force debate on troops in iraq,0.22108,0.11393,0.2402,0.0438683,0.313663,0.0672579
300,ex teacher guilty in nude pictures scheme,0.0988594,0.0536633,0.307975,0.108754,0.247754,0.182994
301,years on but couple still hugging,0.102312,0.0815531,0.248939,0.131985,0.213108,0.222104
302,pats fourth quarter rally finishes chargers,0.107861,0.0745093,0.309837,0.0986366,0.203132,0.206024
303,review alpha dog misses the point,0.000108971,0.0787648,0.000655725,0.00100478,0.446384,0.473082
304,andromeda involved in galactic collision,0.101589,0.0575656,0.312775,0.0900413,0.320282,0.117748
305,injured marathon winner leaves hospital,0.0171747,0.0117248,0.0758859,0.704267,0.114395,0.076553
306,kate is marrying doherty,0.0821443,0.077639,0.220276,0.21779,0.131472,0.270679
307,baghdad plan is a success iraq prime minister tells bush,0.178996,0.128812,0.292776,0.0612461,0.236856,0.101314
308,beckham outlines reasons for move,0.102897,0.0581251,0.142031,0.278073,0.242629,0.176245
309,al qaeda chiefs are seen to regain power,0.126874,0.0723079,0.474112,0.0799581,0.137424,0.109325
310,start late retire rich,0.0577402,0.0512318,0.216974,0.255601,0.187445,0.231008
311,autos drive european gains,0.0787523,0.0657632,0.255794,0.224069,0.155713,0.219909
312,immigrants and french reach deal in standoff,0.126357,0.071569,0.31677,0.128119,0.238125,0.119061
